PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
12.0,20.0,11.0,14.0,126.0,19.0,30.0
35.0,54.0,20.0,10.0,380.0,21.0,33.0
37.0,57.0,24.0,9.0,386.0,19.0,32.0
37.0,57.0,24.0,9.0,386.0,18.0,30.0
35.0,54.0,20.0,10.0,380.0,23.0,33.0
37.0,57.0,24.0,9.0,386.0,20.0,33.0
36.0,53.0,25.0,18.0,499.0,18.0,33.0
35.0,52.0,24.0,9.0,404.0,15.0,30.0
35.0,52.0,24.0,9.0,404.0,22.0,32.0
35.0,52.0,24.0,9.0,404.0,18.0,32.0
35.0,54.0,20.0,10.0,380.0,22.0,33.0
35.0,52.0,24.0,9.0,404.0,19.0,33.0
20.0,29.0,8.0,13.0,148.0,3.0,25.0
22.0,32.0,16.0,12.0,136.0,4.0,27.0
22.0,32.0,16.0,12.0,136.0,1.0,29.0
22.0,32.0,16.0,12.0,136.0,9.0,29.0
20.0,29.0,8.0,13.0,148.0,6.0,29.0
20.0,29.0,8.0,13.0,148.0,9.0,29.0
20.0,29.0,8.0,13.0,148.0,4.0,25.0
20.0,29.0,8.0,13.0,148.0,5.0,29.0
20.0,29.0,8.0,13.0,148.0,2.0,28.0
22.0,32.0,16.0,12.0,136.0,4.0,29.0
20.0,29.0,8.0,13.0,148.0,5.0,29.0
22.0,32.0,16.0,12.0,136.0,7.0,27.0
16.0,23.0,11.0,14.0,126.0,7.0,31.0
17.0,28.0,9.0,12.0,137.0,7.0,30.0
17.0,28.0,9.0,12.0,137.0,5.0,29.0
17.0,28.0,9.0,12.0,137.0,7.0,30.0
17.0,22.0,1.0,9.0,103.0,5.0,33.0
17.0,28.0,9.0,12.0,137.0,5.0,30.0
19.0,29.0,17.0,14.0,210.0,7.0,29.0
17.0,22.0,1.0,9.0,103.0,5.0,32.0
17.0,28.0,9.0,12.0,137.0,8.0,30.0
17.0,28.0,9.0,12.0,137.0,6.0,29.0
17.0,28.0,9.0,12.0,137.0,7.0,30.0
17.0,28.0,9.0,12.0,137.0,3.0,30.0
10.0,125.0,13.0,5.0,340.0,6.0,34.0
10.0,125.0,13.0,5.0,340.0,8.0,33.0
29.0,53.0,10.0,8.0,300.0,9.0,31.0
32.0,67.0,27.0,7.0,528.0,5.0,31.0
11.0,41.0,14.0,7.0,620.0,13.0,31.0
10.0,125.0,13.0,5.0,340.0,6.0,34.0
29.0,53.0,10.0,8.0,300.0,8.0,30.0
10.0,125.0,13.0,5.0,340.0,7.0,33.0
10.0,125.0,13.0,5.0,340.0,6.0,34.0
10.0,125.0,13.0,5.0,340.0,10.0,33.0
7.0,13.0,50.0,13.0,280.0,11.0,33.0
42.0,64.0,25.0,8.0,1040.0,12.0,31.0
42.0,64.0,25.0,8.0,1040.0,12.0,31.0
34.0,110.0,42.0,9.0,2800.0,11.0,31.0
34.0,131.0,42.0,9.0,2800.0,5.0,26.0
34.0,131.0,42.0,9.0,2800.0,5.0,27.0
42.0,64.0,25.0,8.0,1040.0,12.0,31.0
60.0,131.0,41.0,20.0,580.0,5.0,29.0
39.0,85.0,32.0,5.0,950.0,11.0,30.0
34.0,110.0,42.0,9.0,2800.0,6.0,28.0
34.0,110.0,42.0,9.0,2800.0,9.0,30.0
60.0,131.0,41.0,20.0,580.0,4.0,20.0
43.0,65.0,6.0,6.0,354.0,13.0,28.0
43.0,65.0,6.0,6.0,354.0,20.0,28.0
43.0,65.0,6.0,6.0,354.0,15.0,29.0
42.0,61.0,11.0,10.0,478.6666666666667,12.0,28.0
